"State","Category","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"AS","Data Breach",0.42857142857143,1.88873052362275,169.866661253145,-3.29983516202422,4.15697801916708,0.226909780517229,0.820766740871846
"TN","Data Breach",0.428571428571429,1.88873052362275,169.866661253143,-3.29983516202422,4.15697801916708,0.226909780517229,0.820766740871846
"CA","Data Breach",1,1.88873052362275,169.866661253143,-2.72840659059565,4.72840659059565,0.5294561545402,0.59718031281945
"AS","Personal Data Breach",5.28571428571428,1.88873052362275,169.866661253145,1.55730769511863,9.01412087630993,2.79855395971249,0.00572686174807719
"TN","Personal Data Breach",14.7142857142857,1.88873052362275,169.866661253145,10.9858791236901,18.4426923048814,7.79056913109152,6.32006560986299e-13
"CA","Personal Data Breach",25.7142857142857,1.88873052362275,169.866661253145,21.9858791236901,29.4426923048814,13.6145868310337,5.16538622043001e-29
"AS","Malware",0.857142857142857,1.88873052362275,169.866661253145,-2.87126373345279,4.58554944773851,0.453819561034458,0.650537973588667
"TN","Malware",0.428571428571429,1.88873052362275,169.866661253145,-3.29983516202422,4.15697801916708,0.226909780517229,0.820766740871846
"CA","Malware",0.571428571428572,1.88873052362275,169.866661253145,-3.15697801916708,4.29983516202422,0.302546374022972,0.76260573890533
"AS","Phishing",2.57142857142857,1.88873052362275,169.866661253145,-1.15697801916708,6.29983516202422,1.36145868310337,0.175171896177328
"TN","Phishing",8.42857142857143,1.88873052362275,169.866661253143,4.70016483797578,12.1569780191671,4.46255901683883,1.46993383140277e-05
"CA","Phishing",12,1.88873052362275,169.866661253143,8.27159340940435,15.7284065905957,6.3534738544824,1.86324091531324e-09
"AS","Ransomware",4.44089209850063e-16,1.88873052362275,169.866661253145,-3.72840659059565,3.72840659059565,2.3512576532001e-16,1
"TN","Ransomware",0.285714285714286,1.88873052362275,169.866661253145,-3.44269230488136,4.01412087630993,0.151273187011486,0.879939719259635
"CA","Ransomware",1,1.88873052362275,169.866661253143,-2.72840659059565,4.72840659059565,0.5294561545402,0.59718031281945
"AS","Crimes Against Children",1.57142857142857,1.88873052362275,169.866661253145,-2.15697801916708,5.29983516202422,0.832002528563172,0.406575626181299
"TN","Crimes Against Children",0.285714285714286,1.88873052362275,169.866661253145,-3.44269230488136,4.01412087630994,0.151273187011486,0.879939719259635
"CA","Crimes Against Children",0.428571428571427,1.88873052362275,169.866661253145,-3.29983516202422,4.15697801916708,0.226909780517228,0.820766740871847
"AS","Extortion",4.71428571428572,1.88873052362275,169.866661253145,0.985879123690067,8.44269230488137,2.49600758568952,0.0135136272300894
"TN","Extortion",14.8571428571429,1.88873052362275,169.866661253143,11.1287362665472,18.5855494477385,7.86620572459727,4.06247129420461e-13
"CA","Extortion",22.5714285714286,1.88873052362275,169.866661253143,18.8430219808329,26.2998351620242,11.9505817739074,2.79539549990954e-24
"AS","Threats/Stalking/Harassment/Terrorism",7.28571428571429,1.88873052362275,169.866661253145,3.55730769511864,11.0141208763099,3.85746626879289,0.000162425058382107
"TN","Threats/Stalking/Harassment/Terrorism",5,1.88873052362275,169.866661253145,1.27159340940435,8.72840659059565,2.647280772701,0.00887767339994055
"CA","Threats/Stalking/Harassment/Terrorism",9.00043405369855,2.03356438700713,177.881150725321,4.9874186048004,13.0134495025967,4.42594004458586,1.67092411802055e-05
"AS","IPR/Counterfeit",0.428571428571429,1.88873052362275,169.866661253145,-3.29983516202422,4.15697801916708,0.226909780517229,0.820766740871846
"TN","IPR/Counterfeit",0.714285714285714,1.88873052362275,169.866661253145,-3.01412087630994,4.44269230488136,0.378182967528714,0.705766860841766
"CA","IPR/Counterfeit",1.28571428571428,1.88873052362275,169.866661253145,-2.44269230488136,5.01412087630993,0.680729341551686,0.496969609962503
"AS","Identity Theft",1.85714285714286,1.88873052362275,169.866661253145,-1.87126373345279,5.58554944773851,0.983275715574659,0.32687017542979
"TN","Identity Theft",9.85714285714286,1.88873052362275,169.866661253145,6.12873626654721,13.5855494477385,5.21892495189626,5.19854430053233e-07
"CA","Identity Theft",11.8571428571429,1.88873052362275,169.866661253145,8.12873626654721,15.5855494477385,6.27783726097666,2.76858774570005e-09
"AS","BEC",4,1.88873052362275,169.866661253145,0.271593409404353,7.72840659059565,2.1178246181608,0.0356450333109787
"TN","BEC",6.71428571428572,1.88873052362275,169.866661253145,2.98587912369007,10.4426923048814,3.55491989476992,0.000489868839624445
"CA","BEC",12.8571428571429,1.88873052362275,169.866661253143,9.12873626654721,16.5855494477385,6.80729341551686,1.63802943590386e-10
