Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
300 Chickasaw Rd,Chattanooga,TN,37411,10/10/2023 09:31:00 PM,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-110360,3,Pending/Possible Leads,35.023262,-85.231715,POINT (-85.231715 35.023262),5
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/10/2023 08:45:00 PM,TN0330100,C8,Charlie N,23H,All Other Larceny,Part 1 Crimes,23-110347,3,Pending/Possible Leads,35.023610999999995,-85.158158,POINT (-85.158158 35.023611),4
8600 Ooltewah Harrison Rd,Chattanooga,TN,37363,10/10/2023 08:32:00 PM,TN0330100,C9,Charlie N,23H,All Other Larceny,Part 1 Crimes,23-110268,3,Pending/Possible Leads,35.085242,-85.081417,POINT (-85.081417 35.085242),6
2000 Hamilton Place Blvd,Chattanooga,TN,37421,10/10/2023 08:30:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110338,2,Cleared by Arrest,35.029993,-85.15920600000001,POINT (-85.159206 35.029993),4
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/10/2023 07:40:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110320,2,Cleared by Arrest,35.029176,-85.15312100000001,POINT (-85.153121 35.029176),4
2200 Hamilton Place Blvd,Chattanooga,TN,37421,10/10/2023 07:02:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110314,3,Pending/Possible Leads,35.037914,-85.153962,POINT (-85.153962 35.037914),4
3200 Rossville Blvd,Chattanooga,TN,37407,10/10/2023 07:00:00 PM,TN0330100,B7,Baker S,23C,Shoplifting,Part 1 Crimes,23-110307,3,Pending/Possible Leads,35.005334,-85.294382,POINT (-85.294382 35.005334),7
7400 Commons Blvd,Chattanooga,TN,37421,10/10/2023 04:25:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110246,3,Pending/Possible Leads,35.035616,-85.147611,POINT (-85.147611 35.035616),4
3000 Towerway Dr,Chattanooga,TN,37404,10/10/2023 03:30:00 PM,TN0330100,C1,Charlie S,23H,All Other Larceny,Part 1 Crimes,23-110222,3,Pending/Possible Leads,35.067782,-85.233623,POINT (-85.233623 35.067782),5
400 Greenway View Dr,Chattanooga,TN,37411,10/10/2023 03:15:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,23-110215,2,Cleared by Arrest,35.008074,-85.204751,POINT (-85.204751 35.008074),6
6200 Airpark Dr,Chattanooga,TN,37421,10/10/2023 02:17:00 PM,TN0330100,C4,Charlie S,23H,All Other Larceny,Part 1 Crimes,23-110198,3,Pending/Possible Leads,35.034237,-85.18576900000001,POINT (-85.185769 35.034237),6
3800 Hixson Pike,Chattanooga,TN,37415,10/10/2023 02:00:00 PM,TN0330100,A3,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110144,3,Pending/Possible Leads,35.111219000000006,-85.270173,POINT (-85.270173 35.111219),2
3200 14th Ave,Chattanooga,TN,37407,10/10/2023 01:53:00 PM,TN0330100,B8,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-110175,3,Pending/Possible Leads,35.001579,-85.27821,POINT (-85.27821 35.001579),7
400 Tunnel Blvd,Chattanooga,TN,37411,10/10/2023 12:08:00 PM,TN0330100,C2,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,23-110151,4,Inactive/Suspended,35.032846,-85.243105,POINT (-85.243105 35.032846),9
2200 Hamilton Place Blvd,Chattanooga,TN,37421,10/10/2023 11:35:00 AM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110147,2,Cleared by Arrest,35.038148,-85.154973,POINT (-85.154973 35.038148),4
1100 E 10th St,Chattanooga,TN,37403,10/10/2023 11:00:00 AM,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110202,3,Pending/Possible Leads,35.037648999999995,-85.29300500000001,POINT (-85.293005 35.037649),8
700 Signal Mountain Rd,Chattanooga,TN,37405,10/10/2023 11:00:00 AM,TN0330100,A5,Adam N,23H,All Other Larceny,Part 1 Crimes,23-110133,3,Pending/Possible Leads,35.099139,-85.328322,POINT (-85.328322 35.099139),1
200 Oliver St,Chattanooga,TN,37405,10/10/2023 11:00:00 AM,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110150,3,Pending/Possible Leads,35.064381000000004,-85.30531,POINT (-85.30531 35.064381),2
1500 Kippy Dr,Chattanooga,TN,37421,10/09/2023 10:08:00 PM,TN0330100,C8,Charlie N,23H,All Other Larceny,Part 1 Crimes,23-110024,3,Pending/Possible Leads,35.020613,-85.170597,POINT (-85.170597 35.020613),4
4400 Amnicola Hwy,Chattanooga,TN,37406,10/09/2023 09:30:00 PM,TN0330100,B1,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110114,4,Inactive/Suspended,35.095954,-85.23986500000001,POINT (-85.239865 35.095954),8
400 Greenway View Dr,Chattanooga,TN,37411,10/09/2023 09:20:00 PM,TN0330100,C3,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-110011,2,Cleared by Arrest,35.008735,-85.204425,POINT (-85.204425 35.008735),6
1500 Hickory Valley Rd,Chattanooga,TN,37421,10/09/2023 08:15:00 PM,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-109994,3,Pending/Possible Leads,35.023514999999996,-85.18205,POINT (-85.18205 35.023515),6
3600 Hixson Pike,Chattanooga,TN,37415,10/09/2023 08:00:00 PM,TN0330100,A3,Adam N,23D,Theft From Buildings,Part 1 Crimes,23-110095,3,Pending/Possible Leads,35.106654,-85.27073,POINT (-85.27073 35.106654),2
1400 Tunnel Blvd,Chattanooga,TN,37411,10/09/2023 08:00:00 PM,TN0330100,C1,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,23-109996,4,Inactive/Suspended,35.045901,-85.238291,POINT (-85.238291 35.045901),9
3100 Broad St,Chattanooga,TN,37405,10/09/2023 07:52:00 PM,TN0330100,A11,Adam S,23D,Theft From Buildings,Part 1 Crimes,23-109988,3,Pending/Possible Leads,35.019487000000005,-85.321827,POINT (-85.321827 35.019487),7
1900 Walker Ave,Chattanooga,TN,37404,10/09/2023 07:39:00 PM,TN0330100,B4,Baker N,23H,All Other Larceny,Part 1 Crimes,23-109983,3,Pending/Possible Leads,35.046298,-85.269753,POINT (-85.269753 35.046298),8
400 Greenway View Dr,Chattanooga,TN,37411,10/09/2023 07:35:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,23-109978,2,Cleared by Arrest,35.008447000000004,-85.204858,POINT (-85.204858 35.008447),6
1200 King St,Chattanooga,TN,37403,10/09/2023 07:00:00 PM,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110085,3,Pending/Possible Leads,35.040843,-85.30660400000001,POINT (-85.306604 35.040843),8
6900 Lee Hwy,Chattanooga,TN,37421,10/09/2023 06:24:00 PM,TN0330100,C6,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,23-110164,3,Pending/Possible Leads,35.045712,-85.163606,POINT (-85.163606 35.045712),6
1100 Arcadia Ave,Chattanooga,TN,37411,10/09/2023 06:20:00 PM,TN0330100,C1,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-109954,3,Pending/Possible Leads,35.040838,-85.238454,POINT (-85.238454 35.040838),9
1300 Dodson Ave,Chattanooga,TN,37406,10/09/2023 06:03:00 PM,TN0330100,B3,Baker N,23H,All Other Larceny,Part 1 Crimes,23-109949,3,Pending/Possible Leads,35.051151,-85.261778,POINT (-85.261778 35.051151),8
3400 3rd Ave,Chattanooga,TN,37407,10/09/2023 05:37:00 PM,TN0330100,B7,Baker S,23H,All Other Larceny,Part 1 Crimes,23-109938,3,Pending/Possible Leads,35.005366,-85.287995,POINT (-85.287995 35.005366),7
7400 Commons Blvd,Chattanooga,TN,37421,10/09/2023 05:13:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-109931,2,Cleared by Arrest,35.036152,-85.145712,POINT (-85.145712 35.036152),4
2500 De Sales Ave,Chattanooga,TN,37404,10/09/2023 03:30:00 PM,TN0330100,B4,Baker N,23H,All Other Larceny,Part 1 Crimes,23-109885,3,Pending/Possible Leads,35.042436,-85.26156900000001,POINT (-85.261569 35.042436),9
2100 Gunbarrel Rd,Chattanooga,TN,37421,10/09/2023 02:00:00 PM,TN0330100,C7,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109902,3,Pending/Possible Leads,35.034371,-85.148695,POINT (-85.148695 35.034371),4
1900 Garfield St,Chattanooga,TN,37404,10/09/2023 01:16:00 PM,TN0330100,B4,Baker N,23D,Theft From Buildings,Part 1 Crimes,23-109831,3,Pending/Possible Leads,35.041754999999995,-85.270162,POINT (-85.270162 35.041755),8
1600 E 3rd St,Chattanooga,TN,37404,10/09/2023 12:48:00 PM,TN0330100,B4,Baker N,23C,Shoplifting,Part 1 Crimes,23-109941,2,Cleared by Arrest,35.040526,-85.276983,POINT (-85.276983 35.040526),8
3500 Cummings Hwy,Chattanooga,TN,37419,10/09/2023 12:48:00 PM,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,23-109829,2,Cleared by Arrest,35.016593,-85.376759,POINT (-85.376759 35.016593),1
3200 Wilcox Blvd,Chattanooga,TN,37411,10/09/2023 12:15:00 PM,TN0330100,C1,Charlie S,23C,Shoplifting,Part 1 Crimes,23-109813,3,Pending/Possible Leads,35.047396,-85.24323299999999,POINT (-85.243233 35.047396),9
5900 Shaw Ave,Chattanooga,TN,37421,10/09/2023 09:27:00 AM,TN0330100,C4,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,23-109892,2,Cleared by Arrest,35.041501999999994,-85.18985500000001,POINT (-85.189855 35.041502),6
5900 Shaw Ave,Chattanooga,TN,37421,10/09/2023 09:27:00 AM,TN0330100,C4,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109892,2,Cleared by Arrest,35.040071,-85.18974,POINT (-85.18974 35.040071),6
3500 Cummings Hwy,Chattanooga,TN,37419,10/09/2023 08:48:00 AM,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,23-109747,3,Pending/Possible Leads,35.016154,-85.377306,POINT (-85.377306 35.016154),1
1400 Fagan St,Chattanooga,TN,37408,10/09/2023 06:37:00 AM,TN0330100,B5,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109726,4,Inactive/Suspended,35.031427,-85.293901,POINT (-85.293901 35.031427),8
6700 Willow Brook Dr,Chattanooga,TN,37421,10/09/2023 04:00:00 AM,TN0330100,C6,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,23-109743,4,Inactive/Suspended,35.048382999999994,-85.167326,POINT (-85.167326 35.048383),6
900 E Main St,Chattanooga,TN,37408,10/09/2023 03:33:00 AM,TN0330100,B5,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109718,4,Inactive/Suspended,35.032653,-85.296564,POINT (-85.296564 35.032653),8
400 Chestnut St,Chattanooga,TN,37402,10/09/2023 03:00:00 AM,TN0330100,A7,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109740,4,Inactive/Suspended,35.051555,-85.31179800000001,POINT (-85.311798 35.051555),7
1300 Cypress Street Ct,Chattanooga,TN,37402,10/09/2023 03:00:00 AM,TN0330100,A6,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,23-110070,4,Inactive/Suspended,35.042292,-85.318855,POINT (-85.318855 35.042292),7
500 Sterling Ave,Chattanooga,TN,37405,10/09/2023 12:30:00 AM,TN0330100,A4,Adam N,240,Motor Vehicle Theft,Part 1 Crimes,23-109823,3,Pending/Possible Leads,35.062983,-85.294466,POINT (-85.294466 35.062983),2
1800 Long St,Chattanooga,TN,37408,10/08/2023 11:00:00 PM,TN0330100,A10,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109749,4,Inactive/Suspended,35.034892,-85.30903,POINT (-85.30903 35.034892),7
2100 Ashford Villa Cir,Chattanooga,TN,37421,10/08/2023 10:00:00 PM,TN0330100,C7,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110142,4,Inactive/Suspended,35.033314000000004,-85.141228,POINT (-85.141228 35.033314),4
7100 Blossom Cir,Chattanooga,TN,37421,10/08/2023 10:00:00 PM,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109762,4,Inactive/Suspended,35.062001,-85.150195,POINT (-85.150195 35.062001),6
2700 Rossville Blvd,Chattanooga,TN,37404,10/08/2023 10:00:00 PM,TN0330100,B7,Baker S,23C,Shoplifting,Part 1 Crimes,23-109680,3,Pending/Possible Leads,35.015216,-85.293175,POINT (-85.293175 35.015216),8
400 Chestnut St,Chattanooga,TN,37402,10/08/2023 09:00:00 PM,TN0330100,A7,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109724,4,Inactive/Suspended,35.051404,-85.311684,POINT (-85.311684 35.051404),7
4100 Caine Ln,Chattanooga,TN,37421,10/08/2023 08:51:00 PM,TN0330100,C1,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109666,4,Inactive/Suspended,35.057786,-85.214018,POINT (-85.214018 35.057786),5
7300 Standifer Gap Rd,Chattanooga,TN,37421,10/08/2023 08:00:00 PM,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109737,4,Inactive/Suspended,35.049644,-85.149665,POINT (-85.149665 35.049644),6
400 Chestnut St,Chattanooga,TN,37402,10/08/2023 08:00:00 PM,TN0330100,A7,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109725,3,Pending/Possible Leads,35.050838,-85.31176400000001,POINT (-85.311764 35.050838),7
2000 Mccallie Ave,Chattanooga,TN,37404,10/08/2023 05:59:00 PM,TN0330100,B5,Baker S,23C,Shoplifting,Part 1 Crimes,23-109614,3,Pending/Possible Leads,35.034646,-85.271742,POINT (-85.271742 35.034646),9
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/08/2023 05:14:00 PM,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,23-109600,2,Cleared by Arrest,35.023754999999994,-85.15605599999999,POINT (-85.156056 35.023755),4
2200 Wilcox Blvd,Chattanooga,TN,37406,10/08/2023 04:48:00 PM,TN0330100,B2,Baker N,23C,Shoplifting,Part 1 Crimes,23-109597,2,Cleared by Arrest,35.053863,-85.260944,POINT (-85.260944 35.053863),8
3500 Cummings Hwy,Chattanooga,TN,37419,10/08/2023 03:40:00 PM,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,23-109584,3,Pending/Possible Leads,35.016291,-85.375964,POINT (-85.375964 35.016291),1
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/08/2023 03:17:00 PM,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,23-109602,3,Pending/Possible Leads,35.024527,-85.155739,POINT (-85.155739 35.024527),4
2200 Hamilton Place Blvd,Chattanooga,TN,37421,10/08/2023 01:04:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-109545,3,Pending/Possible Leads,35.039359000000005,-85.154081,POINT (-85.154081 35.039359),4
5200 Highway 153,Chattanooga,TN,37343,10/08/2023 10:12:00 AM,TN0330100,A3,Adam N,23H,All Other Larceny,Part 1 Crimes,23-109497,3,Pending/Possible Leads,35.125241,-85.24141900000001,POINT (-85.241419 35.125241),3
4200 10th Ave,Chattanooga,TN,37407,10/08/2023 09:00:00 AM,TN0330100,B9,Baker S,23D,Theft From Buildings,Part 1 Crimes,23-109794,3,Pending/Possible Leads,34.994963000000006,-85.28480400000001,POINT (-85.284804 34.994963),7
7700 E Brainerd Rd,Chattanooga,TN,37421,10/08/2023 05:08:00 AM,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,23-109462,3,Pending/Possible Leads,35.00938,-85.156778,POINT (-85.156778 35.00938),4
5500 Hixson Pike,Chattanooga,TN,37343,10/08/2023 03:56:00 AM,TN0330100,A2,Adam N,240,Motor Vehicle Theft,Part 1 Crimes,23-109510,3,Pending/Possible Leads,35.144396,-85.223759,POINT (-85.223759 35.144396),3
5500 Hixson Pike,Chattanooga,TN,37343,10/08/2023 03:54:00 AM,TN0330100,A2,Adam N,240,Motor Vehicle Theft,Part 1 Crimes,23-109512,3,Pending/Possible Leads,35.145491,-85.22398399999999,POINT (-85.223984 35.145491),3
5500 Hixson Pike,Chattanooga,TN,37343,10/08/2023 03:54:00 AM,TN0330100,A2,Adam N,240,Motor Vehicle Theft,Part 1 Crimes,23-109511,3,Pending/Possible Leads,35.144628000000004,-85.223895,POINT (-85.223895 35.144628),3
300 Lookout St,Chattanooga,TN,37403,10/07/2023 11:00:00 PM,TN0330100,A7,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,23-109561,4,Inactive/Suspended,35.05251,-85.306988,POINT (-85.306988 35.05251),7
00 Choo Choo Ave,Chattanooga,TN,37402,10/07/2023 11:00:00 PM,TN0330100,B9,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109633,4,Inactive/Suspended,35.039281,-85.305841,POINT (-85.305841 35.039281),8
2300 Mccallie Ave,Chattanooga,TN,37404,10/07/2023 08:37:00 PM,TN0330100,B4,Baker N,240,Motor Vehicle Theft,Part 1 Crimes,23-109367,4,Inactive/Suspended,35.033696,-85.26826999999999,POINT (-85.26827 35.033696),9
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/07/2023 07:32:00 PM,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,23-109323,3,Pending/Possible Leads,35.025006,-85.15543299999999,POINT (-85.155433 35.025006),4
900 E Main St,Chattanooga,TN,37408,10/07/2023 07:00:00 PM,TN0330100,B5,Baker S,23H,All Other Larceny,Part 1 Crimes,23-109514,3,Pending/Possible Leads,35.032244,-85.295332,POINT (-85.295332 35.032244),8
3600 3rd Ave,Chattanooga,TN,37407,10/07/2023 06:30:00 PM,TN0330100,B7,Baker S,23H,All Other Larceny,Part 1 Crimes,23-109951,2,Cleared by Arrest,35.001861999999996,-85.289692,POINT (-85.289692 35.001862),7
5800 Lee Hwy,Chattanooga,TN,37421,10/07/2023 06:00:00 PM,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-109686,3,Pending/Possible Leads,35.020542999999996,-85.201389,POINT (-85.201389 35.020543),5
3900 Hixson Pike,Chattanooga,TN,37415,10/07/2023 05:24:00 PM,TN0330100,A3,Adam N,23H,All Other Larceny,Part 1 Crimes,23-109280,3,Pending/Possible Leads,35.113586999999995,-85.263467,POINT (-85.263467 35.113587),2
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/07/2023 05:01:00 PM,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,23-109271,3,Pending/Possible Leads,35.024015,-85.15639399999999,POINT (-85.156394 35.024015),4
2300 Shallowford Village Dr,Chattanooga,TN,37421,10/07/2023 04:50:00 PM,TN0330100,C9,Charlie N,23H,All Other Larceny,Part 1 Crimes,23-109273,3,Pending/Possible Leads,35.044195,-85.15649499999999,POINT (-85.156495 35.044195),6
4400 Hwy 58,Chattanooga,TN,37416,10/07/2023 04:43:00 PM,TN0330100,C5,Charlie N,23H,All Other Larceny,Part 1 Crimes,23-109320,3,Pending/Possible Leads,35.083593,-85.200644,POINT (-85.200644 35.083593),5
6900 Bonny Oaks Dr,Chattanooga,TN,37421,10/07/2023 03:20:00 PM,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109321,3,Pending/Possible Leads,35.069102,-85.15215500000001,POINT (-85.152155 35.069102),6
2100 Hamilton Place Blvd,Chattanooga,TN,37421,10/07/2023 03:00:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-109249,3,Pending/Possible Leads,35.034475,-85.157793,POINT (-85.157793 35.034475),4
5900 Snow Hill Rd,Chattanooga,TN,37411,10/07/2023 02:31:00 PM,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,23-109222,3,Pending/Possible Leads,35.08986,-85.063416,POINT (-85.063416 35.08986),6
1700 N Concord Rd,Chattanooga,TN,37421,10/07/2023 12:00:00 PM,TN0330100,C8,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,23-109493,4,Inactive/Suspended,35.026561,-85.17129,POINT (-85.17129 35.026561),4
1900 Robbins St,Chattanooga,TN,37404,10/07/2023 10:50:00 AM,TN0330100,B3,Baker N,23D,Theft From Buildings,Part 1 Crimes,23-109153,3,Pending/Possible Leads,35.046054000000005,-85.267881,POINT (-85.267881 35.046054),8
5700 Highway 153,Chattanooga,TN,37343,10/07/2023 10:30:00 AM,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,23-109154,3,Pending/Possible Leads,35.152735,-85.245086,POINT (-85.245086 35.152735),3
2600 Roanoke Ave,Chattanooga,TN,37406,10/07/2023 10:00:00 AM,TN0330100,B4,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110340,3,Pending/Possible Leads,35.069757,-85.255753,POINT (-85.255753 35.069757),8
700 Fulton St,Chattanooga,TN,37402,10/07/2023 08:20:00 AM,TN0330100,A6,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109105,4,Inactive/Suspended,35.049827,-85.321894,POINT (-85.321894 35.049827),7
Columbia St & E 10th St,Chattanooga,TN,37402,10/07/2023 04:00:00 AM,TN0330100,A9,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,23-109093,4,Inactive/Suspended,35.044299,-85.309155,POINT (-85.309155 35.044299),7
800 Canal St,Chattanooga,TN,37402,10/07/2023 03:38:00 AM,TN0330100,A6,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109113,4,Inactive/Suspended,35.050701000000004,-85.32303999999999,POINT (-85.32304 35.050701),7
2400 Bridge Cir,Chattanooga,TN,37421,10/07/2023 03:00:00 AM,TN0330100,C9,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,23-109290,4,Inactive/Suspended,35.049744000000004,-85.162304,POINT (-85.162304 35.049744),6
2500 Judson Ln,Chattanooga,TN,37406,10/07/2023 02:31:00 AM,TN0330100,B3,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109270,3,Pending/Possible Leads,35.047151,-85.258482,POINT (-85.258482 35.047151),9
900 Douglas St,Chattanooga,TN,37403,10/07/2023 01:00:00 AM,TN0330100,A9,Adam S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,23-109549,4,Inactive/Suspended,35.04347,-85.303775,POINT (-85.303775 35.04347),8
1000 Pembrook Ln,Chattanooga,TN,37421,10/07/2023 12:00:00 AM,TN0330100,C7,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110111,4,Inactive/Suspended,35.035903,-85.144077,POINT (-85.144077 35.035903),4
1500 Chestnut St,Chattanooga,TN,37402,10/06/2023 10:00:00 PM,TN0330100,A10,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109206,4,Inactive/Suspended,35.03749,-85.312907,POINT (-85.312907 35.03749),7
5000 Brainerd Rd,Chattanooga,TN,37411,10/06/2023 09:20:00 PM,TN0330100,C3,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,23-108999,2,Cleared by Arrest,35.012805,-85.225853,POINT (-85.225853 35.012805),5
700 Market St,Chattanooga,TN,37402,10/06/2023 09:06:00 PM,TN0330100,A7,Adam S,23C,Shoplifting,Part 1 Crimes,23-108993,3,Pending/Possible Leads,35.047767,-85.31017100000001,POINT (-85.310171 35.047767),7
500 W 42nd St,Chattanooga,TN,37410,10/06/2023 09:00:00 PM,TN0330100,A12,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109095,4,Inactive/Suspended,35.00501,-85.318372,POINT (-85.318372 35.00501),7
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/06/2023 08:00:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-108988,2,Cleared by Arrest,35.030764000000005,-85.15244000000001,POINT (-85.15244 35.030764),4
1100 S Watkins St,Chattanooga,TN,37404,10/06/2023 08:00:00 PM,TN0330100,B5,Baker S,23H,All Other Larceny,Part 1 Crimes,23-109765,4,Inactive/Suspended,35.026365,-85.271511,POINT (-85.271511 35.026365),9
3100 Riverwalk Way,Chattanooga,TN,37408,10/06/2023 06:43:00 PM,TN0330100,A11,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-108946,4,Inactive/Suspended,35.020374,-85.321922,POINT (-85.321922 35.020374),7
7600 E Brainerd Rd,Chattanooga,TN,37421,10/06/2023 06:00:00 PM,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,23-109101,3,Pending/Possible Leads,35.013006999999995,-85.156727,POINT (-85.156727 35.013007),4
900 Islander Way,Chattanooga,TN,37402,10/06/2023 05:30:00 PM,TN0330100,A6,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-109755,3,Pending/Possible Leads,35.050688,-85.322784,POINT (-85.322784 35.050688),7
2500 De Sales Ave,Chattanooga,TN,37404,10/06/2023 03:48:00 PM,TN0330100,B4,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-108788,4,Inactive/Suspended,35.040904999999995,-85.261333,POINT (-85.261333 35.040905),9
5700 Brainerd Rd,Chattanooga,TN,37411,10/06/2023 03:45:00 PM,TN0330100,C2,Charlie S,23C,Shoplifting,Part 1 Crimes,23-109018,3,Pending/Possible Leads,35.010968999999996,-85.211983,POINT (-85.211983 35.010969),6
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/06/2023 03:10:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-108889,3,Pending/Possible Leads,35.033487,-85.152578,POINT (-85.152578 35.033487),4
3800 Chandler Ave,Chattanooga,TN,37410,10/06/2023 01:30:00 PM,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-109047,3,Pending/Possible Leads,35.005757,-85.315809,POINT (-85.315809 35.005757),7
3500 Cummings Hwy,Chattanooga,TN,37419,10/06/2023 01:25:00 PM,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,23-109253,3,Pending/Possible Leads,35.015033,-85.37584,POINT (-85.37584 35.015033),1
6100 Mountain View Rd,Chattanooga,TN,37363,10/06/2023 01:15:00 PM,TN0330100,C9,Charlie N,23D,Theft From Buildings,Part 1 Crimes,23-108936,3,Pending/Possible Leads,35.092531,-85.063032,POINT (-85.063032 35.092531),6
500 Signal Mountain Rd,Chattanooga,TN,37405,10/06/2023 12:43:00 PM,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,23-108803,2,Cleared by Arrest,35.095153,-85.331588,POINT (-85.331588 35.095153),1
7300 Standifer Gap Rd,Chattanooga,TN,37421,10/06/2023 12:20:00 PM,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-108795,4,Inactive/Suspended,35.050813,-85.147815,POINT (-85.147815 35.050813),6
5800 Lee Hwy,Chattanooga,TN,37421,10/06/2023 09:00:00 AM,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-109701,3,Pending/Possible Leads,35.021913999999995,-85.201194,POINT (-85.201194 35.021914),5
