Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
3900 Jasmine St,Chattanooga,TN,37421,07/09/2018 05:30:00 PM,TN0330100,C1,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064705,3,Pending/Possible Leads,35.059541,-85.21328100000001,POINT (-85.213281 35.059541),5
4700 Highway 58,Chattanooga,TN,37416,07/09/2018 05:29:00 PM,TN0330100,C5,Charlie N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-064649,3,Pending/Possible Leads,35.087635,-85.18868400000001,POINT (-85.188684 35.087635),5
1500 Taylor St,Chattanooga,TN,37406,07/09/2018 05:01:00 PM,TN0330100,B2,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064626,3,Pending/Possible Leads,35.052267,-85.25960599999999,POINT (-85.259606 35.052267),9
7500 Shallowford Rd,Chattanooga,TN,37421,07/09/2018 05:00:00 PM,TN0330100,C9,Charlie N,23D,Theft From Buildings,Part 1 Crimes,18-064740,3,Pending/Possible Leads,35.038928,-85.14294699999999,POINT (-85.142947 35.038928),4
4500 Highway 58,Chattanooga,TN,37416,07/09/2018 04:52:00 PM,TN0330100,C5,Charlie N,23C,Shoplifting,Part 1 Crimes,18-064627,3,Pending/Possible Leads,35.08483,-85.19667,POINT (-85.19667 35.08483),5
2200 Gunbarrel Rd,Chattanooga,TN,37421,07/09/2018 04:33:00 PM,TN0330100,C7,Charlie N,23H,All Other Larceny,Part 1 Crimes,18-064647,3,Pending/Possible Leads,35.037774999999996,-85.152129,POINT (-85.152129 35.037775),4
3900 Jasmine St,Chattanooga,TN,37421,07/09/2018 04:22:00 PM,TN0330100,C1,Charlie S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-064607,3,Pending/Possible Leads,35.059861,-85.211771,POINT (-85.211771 35.059861),5
5400 Highway 153,Chattanooga,TN,37343,07/09/2018 04:18:00 PM,TN0330100,A3,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064613,3,Pending/Possible Leads,35.0863138,-85.328282,POINT (-85.328282 35.0863138),1
1000 W 37th St,Chattanooga,TN,37410,07/09/2018 03:30:00 PM,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064660,3,Pending/Possible Leads,35.011164,-85.32078899999999,POINT (-85.320789 35.011164),7
4100 Shallowford Rd,Chattanooga,TN,37411,07/09/2018 03:04:00 PM,TN0330100,C2,Charlie S,23D,Theft From Buildings,Part 1 Crimes,18-064588,2,Cleared by Arrest,35.04262000000001,-85.220536,POINT (-85.220536 35.04262),5
1700 Hamill Rd,Chattanooga,TN,37343,07/09/2018 02:56:00 PM,TN0330100,A3,Adam N,23D,Theft From Buildings,Part 1 Crimes,18-064615,3,Pending/Possible Leads,35.121397,-85.24225299999999,POINT (-85.242253 35.121397),3
100 Northgate Mall Dr,Chattanooga,TN,37415,07/09/2018 02:49:00 PM,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,18-064583,2,Cleared by Arrest,35.131271999999996,-85.239619,POINT (-85.239619 35.131272),3
2600 E 47th St,Chattanooga,TN,37407,07/09/2018 02:45:00 PM,TN0330100,B9,Baker S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-064574,3,Pending/Possible Leads,34.989298,-85.28981,POINT (-85.28981 34.989298),7
2100 Gunbarrel Rd,Chattanooga,TN,37421,07/09/2018 02:40:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,18-065004,3,Pending/Possible Leads,35.035001,-85.149493,POINT (-85.149493 35.035001),4
6200 Shallowford Rd,Chattanooga,TN,37421,07/09/2018 02:15:00 PM,TN0330100,C6,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,18-072296,3,Pending/Possible Leads,35.051817,-85.18015,POINT (-85.18015 35.051817),6
200 Morningside Dr,Chattanooga,TN,37404,07/09/2018 01:32:00 PM,TN0330100,B6,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064546,3,Pending/Possible Leads,35.023748000000005,-85.28453999999999,POINT (-85.28454 35.023748),8
8200 Paces Ferry Xing,Chattanooga,TN,37421,07/09/2018 12:45:00 PM,TN0330100,C8,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064524,3,Pending/Possible Leads,35.010737999999996,-85.139801,POINT (-85.139801 35.010738),4
5200 Hixson Pike,Chattanooga,TN,37343,07/09/2018 12:00:00 PM,TN0330100,A2,Adam N,23H,All Other Larceny,Part 1 Crimes,18-069392,4,Inactive/Suspended,35.137965,-85.236287,POINT (-85.236287 35.137965),3
5500 Hwy 153,Chattanooga,TN,37343,07/09/2018 11:00:00 AM,TN0330100,A1,Adam N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-064675,3,Pending/Possible Leads,35.1473158,-85.250839,POINT (-85.250839 35.1473158),3
200 Acorn Oaks Cir,Chattanooga,TN,37405,07/09/2018 10:09:00 AM,TN0330100,A5,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064485,3,Pending/Possible Leads,35.082849,-85.326382,POINT (-85.326382 35.082849),1
6900 Jesse Conner Rd,Chattanooga,TN,37421,07/09/2018 10:00:00 AM,TN0330100,C6,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064585,3,Pending/Possible Leads,35.033509,-85.166887,POINT (-85.166887 35.033509),6
2500 De Sales Ave,Chattanooga,TN,37404,07/09/2018 10:00:00 AM,TN0330100,B4,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064689,3,Pending/Possible Leads,35.041181,-85.261572,POINT (-85.261572 35.041181),9
