Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
1800 Gunbarrel Rd,Chattanooga,TN,37421,11/3/2017 16:40,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,17-107325,3,Pending/Possible Leads,35.022956,,-85.15716,POINT (-85.15716 35.022956),4
200 Northgate Mall Dr,Chattanooga,TN,37415,11/3/2017 16:58,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,17-107340,3,Pending/Possible Leads,35.13102,,-85.239097,POINT (-85.239097 35.13102),3
4100 Dorris St,Chattanooga,TN,37410,11/3/2017 17:00,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-108053,3,Pending/Possible Leads,35.002601,,-85.310632,POINT (-85.310632 35.002601),7
1900 Market St,Chattanooga,TN,37408,11/3/2017 17:57,TN0330100,A10,Adam S,23C,Shoplifting,Part 1 Crimes,17-107362,3,Pending/Possible Leads,35.031088,SS Cowart,-85.30916,POINT (-85.30916 35.031088),7
2400 E 13th St,Chattanooga,TN,37404,11/3/2017 18:00,TN0330100,B5,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107640,3,Pending/Possible Leads,35.02593,Ridgedale,-85.271555,POINT (-85.271555 35.02593),8
2100 Hamilton Place Blvd,Chattanooga,TN,37421,11/3/2017 18:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,17-107447,3,Pending/Possible Leads,35.033594,,-85.159584,POINT (-85.159584 35.033594),4
5700 Lyle Cir,Chattanooga,TN,37343,11/3/2017 18:00,TN0330100,A1,Adam N,23D,Theft From Buildings,Part 1 Crimes,17-107364,3,Pending/Possible Leads,35.155599,,-85.250847,POINT (-85.250847 35.155599),3
200 Manufacturers Rd,Chattanooga,TN,37405,11/3/2017 18:45,TN0330100,A5,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-107394,3,Pending/Possible Leads,35.063553,Northside/Cherokee,-85.313332,POINT (-85.313332 35.063553),1
5600 Highway 153,Chattanooga,TN,37343,11/3/2017 20:00,TN0330100,A1,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-108333,3,Pending/Possible Leads,35.150166,,-85.250803,POINT (-85.250803 35.150166),3
200 Northgate Mall Dr,Chattanooga,TN,37415,11/3/2017 20:40,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,17-107428,3,Pending/Possible Leads,35.12996,,-85.23933,POINT (-85.23933 35.12996),3
3900 St Elmo Ave,Chattanooga,TN,37409,11/3/2017 21:00,TN0330100,A12,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107496,3,Pending/Possible Leads,35.009639,St. Elmo,-85.328128,POINT (-85.328128 35.009639),7
3900 Brainerd Rd,Chattanooga,TN,37411,11/3/2017 21:50,TN0330100,C2,Charlie S,90J,Trespass Of Real Property,Part 2 Crimes,17-107448,2,Cleared by Arrest,35.018242,Belvoir,-85.239961,POINT (-85.239961 35.018242),6
2300 Mccallie Ave,Chattanooga,TN,37404,11/4/2017 0:45,TN0330100,B4,Baker N,90J,Trespass Of Real Property,Part 2 Crimes,17-107492,2,Cleared by Arrest,35.035321,Glenwood,-85.268026,POINT (-85.268026 35.035321),9
900 Wheeler Ave,Chattanooga,TN,37406,11/4/2017 1:00,TN0330100,B3,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107578,3,Pending/Possible Leads,35.046517,Avondale,-85.261418,POINT (-85.261418 35.046517),8
3100 E 30th St,Chattanooga,TN,37407,11/4/2017 2:45,TN0330100,B8,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-107793,3,Pending/Possible Leads,35.006352,East Lake,-85.275205,POINT (-85.275205 35.006352),7
3700 St Elmo Ave,Chattanooga,TN,37409,11/4/2017 3:00,TN0330100,A12,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107555,3,Pending/Possible Leads,35.011908,,-85.328172,POINT (-85.328172 35.011908),7
300 Ochs Hwy,Chattanooga,TN,37409,11/4/2017 4:00,TN0330100,A12,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,17-107532,3,Pending/Possible Leads,35.005962,St. Elmo,-85.331112,POINT (-85.331112 35.005962),7
6100 Tall Pine Ln,Chattanooga,TN,37421,11/4/2017 5:34,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107543,3,Pending/Possible Leads,35.037248,Shepherd,-85.186835,POINT (-85.186835 35.037248),6
700 Julian Rd,Chattanooga,TN,37421,11/4/2017 8:00,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-108023,3,Pending/Possible Leads,34.994435,,-85.155243,POINT (-85.155243 34.994435),4
