Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
700 BROWNS FERRY RD,Chattanooga,TN,37419-,1/1/2016 1:00,TN0330100,A13,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000066,2,Cleared by Arrest,35.04490199,,-85.35499468,POINT (-85.354994679007 35.04490198771201),1
1100 Arlington AVE,Chattanooga,TN,37406,1/1/2016 6:30,TN0330100,B3,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000137,3,Pending/Possible Leads,35.04802998,,-85.26096931,POINT (-85.260969313488 35.04802998165),8
200 WATER ST,Chattanooga,TN,37410-,1/1/2016 11:00,TN0330100,A13,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000168,3,Pending/Possible Leads,35.00663721,,-85.31327844,POINT (-85.313278435932 35.00663720728),7
900 E 3RD ST,Chattanooga,TN,37402-,1/1/2016 12:00,TN0330100,A8,Adam S,26C,Impersonation,Part 1 Crimes,16-036288,3,Pending/Possible Leads,35.04801023,,-85.29146232,POINT (-85.291462320858 35.048010228264),8
E 11TH ST.,Chattanooga,TN,37402-,1/1/2016 14:39,TN0330100,A9,Adam S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-000202,3,Pending/Possible Leads,35.04356193,,-85.30836574,POINT (-85.308365740112 35.043561925689),8
1900 Market ST,Chattanooga,TN,37408,1/1/2016 14:40,TN0330100,A10,Adam S,23C,Shoplifting,Part 1 Crimes,16-000212,2,Cleared by Arrest,35.032544,SS Cowart,-85.308817,POINT (-85.308817 35.032544),7
6100 Shallowford Road,Chattanooga,TN,37421-,1/1/2016 15:00,TN0330100,C6,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-051376,3,Pending/Possible Leads,35.05325036,,-85.18165811,POINT (-85.181658108257 35.053250359551),6
600 McCallie AVE,Chattanooga,TN,37403-,1/1/2016 15:00,TN0330100,A8,Adam S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-020951,3,Pending/Possible Leads,35.04671765,,-85.30034498,POINT (-85.300344976712 35.046717647432),8
5000 Harley Lane.,Chattanooga,TN,37416-,1/1/2016 15:30,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000217,3,Pending/Possible Leads,35.09655527,,-85.17783887,POINT (-85.177838865544 35.09655527411),3
400 GREENWAY VIEW DR,chattanooga,TN,37411,1/1/2016 18:45,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-000284,2,Cleared by Arrest,35.00744507,,-85.20570678,POINT (-85.205706782877 35.007445072542),6
2000 S WILLOW ST.,Chattanooga,TN,37404-,1/1/2016 18:45,TN0330100,B6,Baker S,23C,Shoplifting,Part 1 Crimes,16-000268,3,Pending/Possible Leads,35.01863609,,-85.28020296,POINT (-85.28020296421 35.01863608739),8
2200 E. 23rd St.,Chattanooga,TN,37407-,1/1/2016 19:30,TN0330100,B7,Baker S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-000296,2,Cleared by Arrest,35.01685889,,-85.28012983,POINT (-85.280129825643 35.016858892253),8
7700 SHALLOWFORD RD.,Chattanooga,TN,37421-,1/1/2016 19:32,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000279,3,Pending/Possible Leads,35.03549153,,-85.1380696,POINT (-85.138069602389 35.035491533993),4
7700 SHALLOWFORD RD.,Chattanooga,TN,37421-,1/1/2016 19:32,TN0330100,C9,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-000279,3,Pending/Possible Leads,35.03549153,,-85.1380696,POINT (-85.138069602389 35.035491533993),4
900 GRAYSVILLE RD,Chattanooga,TN,37421-,1/2/2016 1:37,TN0330100,C8,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-000497,3,Pending/Possible Leads,34.9979973,,-85.14789461,POINT (-85.14789461368 34.997997299777),4
1300 HICKORY VALLEY RD.,Chattanooga,TN,37421-,1/2/2016 2:02,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000355,I,Closed,35.01871767,,-85.18121526,POINT (-85.181215264992 35.018717669543),6
4000 SHALLOWFORD RD,CHATTANOOGA,TN,37411,1/2/2016 2:28,TN0330100,C4,Charlie S,23D,Theft From Buildings,Part 1 Crimes,16-000455A,3,Pending/Possible Leads,35.04291369,,-85.22104622,POINT (-85.221046221939 35.042913692167),5
4000 SHALLOWFORD RD,Chattanooga,TN,37411-,1/2/2016 2:28,TN0330100,C3,Charlie S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-000455,3,Pending/Possible Leads,35.04204869,,-85.22219822,POINT (-85.222198221939 35.042048692167),5
400 GREENWAY VIEW DR,Chattanooga,TN,37411-,1/2/2016 10:50,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-000426,2,Cleared by Arrest,35.00707607,,-85.20635678,POINT (-85.206356782877 35.007076072542),6
600 Hudson Rd.,Chattanooga,TN,37405-,1/2/2016 11:00,TN0330100,A5,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000462,3,Pending/Possible Leads,35.07617493,,-85.33379342,POINT (-85.333793417015 35.076174926336),1
800 N GERMANTOWN RD.,Chattanooga,TN,37411-,1/2/2016 12:19,TN0330100,C2,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000337,2,Cleared by Arrest,35.03445501,,-85.23983605,POINT (-85.239836046786 35.034455009179),9
1800 DODDS AVE,CHATTANOOGA,TN,37404,1/2/2016 13:13,TN0330100,B6,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-000470,2,Cleared by Arrest,35.01891389,,-85.27221643,POINT (-85.27221643324 35.018913888005),9
5500 Hwy 153,Chattanooga,TN,37343-,1/2/2016 14:00,TN0330100,A3,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-007246,3,Pending/Possible Leads,35.14544939,,-85.24962212,POINT (-85.249622116264 35.145449393758),3
400 GREENWAY VIEW DR.,Chattanooga,TN,37411-,1/2/2016 15:44,TN0330100,C1,Charlie S,23C,Shoplifting,Part 1 Crimes,16-000526,2,Cleared by Arrest,35.00875407,,-85.20591778,POINT (-85.205917782877 35.008754072542),6
4700 BRAINERD RD,Chattanooga,TN,37411-,1/2/2016 16:00,TN0330100,C2,Charlie S,HRA,Harassment All Others,Other Incidents,16-000532,3,Pending/Possible Leads,35.01332503,,-85.23007542,POINT (-85.230075418018 35.01332503168),6
2100 Hamilton Place BLVD,Chattanooga,TN,37421,1/2/2016 17:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-000552,2,Cleared by Arrest,35.03631202,,-85.16146857,POINT (-85.161468565948 35.036312018708),4
2000 GUNBARREL RD,Chattanooga,TN,37421-,1/2/2016 18:17,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-000579,2,Cleared by Arrest,35.03096843,,-85.15579405,POINT (-85.155794049335 35.030968425364),4
200 E 11TH ST.,Chattanooga,TN,37402-,1/2/2016 18:30,TN0330100,A9,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000839,3,Pending/Possible Leads,35.04345887,,-85.3060075,POINT (-85.306007502655 35.043458873931),8
2400 WESTSIDE DR.,Chattanooga,TN,37404-,1/2/2016 19:14,TN0330100,B6,Baker S,250,Forgery/Counterfeiting,Part 1 Crimes,16-000593,2,Cleared by Arrest,35.01249389,,-85.2731706,POINT (-85.273170595113 35.01249389397),9
400 TUCKER ST,Chattanooga,TN,37405-,1/2/2016 23:00,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-004969,2,Cleared by Arrest,35.06438046,,-85.30180605,POINT (-85.301806053393 35.06438046287),2
100 W 19TH ST .,CHATTANOOGA,TN,37408,1/2/2016 23:30,TN0330100,A10,Adam S,120,Robbery,Part 1 Crimes,16-000662,3,Pending/Possible Leads,35.03291574,,-85.30939067,POINT (-85.30939067068 35.032915739827),7
3200 Broad St.,Chattanooga,TN,37410-,1/3/2016 2:30,TN0330100,A11,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000697,2,Cleared by Arrest,35.01874032,,-85.32192289,POINT (-85.321922891537 35.018740317338),7
5500 BRAINERD RD.,Chattanooga,TN,37411-,1/3/2016 4:44,TN0330100,C3,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-000762,3,Pending/Possible Leads,35.00937747,,-85.22039281,POINT (-85.220392809152 35.00937747493),6
1800 S Greenwood AVE,Chattanooga,TN,37406,1/3/2016 7:00,TN0330100,B6,Baker S,23D,Theft From Buildings,Part 1 Crimes,16-000742,3,Pending/Possible Leads,35.0248871,,-85.28911157,POINT (-85.289111572821 35.024887097202),8
7700 LEE HWY,Chattanooga,TN,37421-,1/3/2016 12:12,TN0330100,C9,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-000774,2,Cleared by Arrest,35.06045352,,-85.13427632,POINT (-85.134276323402 35.060453515743),6
400 Greenway View Dr.,Chattanoogaq,TN,37411-,1/3/2016 12:22,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-000788,2,Cleared by Arrest,35.00817307,,-85.20607078,POINT (-85.206070782877 35.008173072542),6
500 Signal Mountain RD,"Chattanooga,",TN,37405,1/3/2016 13:00,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-000809,3,Pending/Possible Leads,35.09202576,,-85.32969544,POINT (-85.32969543936 35.092025758774),1
5500 HWY 153,Chattanooga,TN,37343-,1/3/2016 14:30,TN0330100,A1,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000816,3,Pending/Possible Leads,35.14954475,,-85.2497607,POINT (-85.249760702188 35.149544751771),3
1300 Grove Street CT,Chattanooga,TN,37402-,1/3/2016 20:11,TN0330100,ZONE 6,,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-001109,3,Pending/Possible Leads,35.04291374,,-85.31808553,POINT (-85.318085526479 35.042913741154),7
2600 WALKER RD,Chattanooga,TN,37421-,1/3/2016 20:39,TN0330100,C9,Charlie N,HAR,Harassment All Others,Other Incidents,16-001086,3,Pending/Possible Leads,35.05176845,,-85.13942208,POINT (-85.139422079419 35.051768451114),4
3600 Tennessee AVE,Chattanooga,TN,37410,1/4/2016 8:20,TN0330100,A11,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001021,3,Pending/Possible Leads,35.01429194,,-85.32460407,POINT (-85.324604068935 35.014291941463),7
400 S SEMINOLE DR.,Chattanooga,TN,37411-,1/4/2016 9:00,TN0330100,C1,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-001200,3,Pending/Possible Leads,35.02075175,,-85.26045534,POINT (-85.260455344759 35.02075174551),9
1000 GRAYSVILLE RD,Chattanooga,TN,37421-,1/4/2016 12:00,TN0330100,C8,Charlie N,23D,Theft From Buildings,Part 1 Crimes,16-003515,3,Pending/Possible Leads,35.00087954,,-85.15000608,POINT (-85.150006084523 35.00087953772),4
700 E 48TH ST,Chattanooga,TN,37410-,1/4/2016 13:58,TN0330100,A12,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001127,3,Pending/Possible Leads,34.9935493,,-85.30674428,POINT (-85.306744280466 34.99354929745),7
700 E 48TH ST,Chattanooga,TN,37410-,1/4/2016 13:58,TN0330100,A12,Adam S,23D,Theft From Buildings,Part 1 Crimes,16-001127,3,Pending/Possible Leads,34.9935493,,-85.30674428,POINT (-85.306744280466 34.99354929745),7
2000 Gunbarrel ROAD,Chattanooga,TN,37421,1/4/2016 14:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-001140,2,Cleared by Arrest,35.03174243,,-85.15477105,POINT (-85.154771049335 35.031742425364),4
1800 GUNBARREL RD.,Chattanooga,TN,37421,1/4/2016 15:06,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,16-001150,2,Cleared by Arrest,35.02359602,,-85.15858024,POINT (-85.1585802414 35.023596021048),4
2100 HAMILTON PLACE BLVD,Chattanooga,TN,37421-,1/4/2016 17:45,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-001603,2,Cleared by Arrest,35.03541102,,-85.16198857,POINT (-85.161988565948 35.035411018708),4
500 Signal Mountain RD,"Chattanooga,",TN,37405,1/4/2016 18:36,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-001243,2,Cleared by Arrest,35.09187676,,-85.32955044,POINT (-85.32955043936 35.091876758774),1
"1700 CARSON AVE,",Chattanooga,TN,37406-,1/4/2016 18:58,TN0330100,B3,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-001248,3,Pending/Possible Leads,35.04826388,,-85.27117043,POINT (-85.271170434571 35.048263882387),8
"1700 CARSON AVE,",Chattanooga,TN,37406-,1/4/2016 18:58,TN0330100,B3,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001248,3,Pending/Possible Leads,35.04826388,,-85.27117043,POINT (-85.271170434571 35.048263882387),8
700 LIBERTY ST,Chattanooga,TN,37343-,1/5/2016 1:00,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-001420,3,Pending/Possible Leads,35.07018098,,-85.29735092,POINT (-85.297350922759 35.070180979408),2
5900 SHALLOWFORD RD.,Chattanooga,TN,37411-,1/5/2016 1:12,TN0330100,C1,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-001343,3,Pending/Possible Leads,35.05391152,,-85.19204047,POINT (-85.192040470204 35.053911516043),6
1200 Grove St,Chattanooga,TN,37402-,1/5/2016 2:31,TN0330100,A6,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-001363,3,Pending/Possible Leads,35.04504786,,-85.31708006,POINT (-85.317080057546 35.045047858424),7
1600 Mossy Oaks Dr,Chattanooga,TN,37406-,1/5/2016 8:00,TN0330100,B2,Baker N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-045793,3,Pending/Possible Leads,35.05479219,,-85.26060866,POINT (-85.260608658175 35.054792187183),8
400 Greenway View Dr.,Chattanooga,TN,37411-,1/5/2016 12:00,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-001488,3,Pending/Possible Leads,35.00754007,,-85.20635478,POINT (-85.206354782877 35.007540072542),6
7700 Lee HWY,CHATTANOOGA,TN,37421,1/5/2016 12:15,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001467,3,Pending/Possible Leads,35.06117691,,-85.13387277,POINT (-85.133872771173 35.061176910472),6
2400 Cone Flower Tr,Chattanooga,TN,37421-,1/5/2016 13:00,TN0330100,C7,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-010685,3,Pending/Possible Leads,35.04148981,,-85.14113477,POINT (-85.14113477232 35.041489810339),4
5900 OLD DAYTON PIKE.,Chattanooga,TN,37415-,1/5/2016 14:00,TN0330100,A1,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001551,3,Pending/Possible Leads,35.16590126,,-85.26049231,POINT (-85.260492305961 35.165901258452),1
3600 CHATEAU LN.,Chattanooga,TN,37411-,1/5/2016 15:00,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-001620,3,Pending/Possible Leads,35.02095468,,-85.24726894,POINT (-85.247268942028 35.020954678353),6
100 N. Market St,CHATTANOOGA,TN,37405-,1/5/2016 15:45,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-001803,3,Pending/Possible Leads,35.06309371,,-85.30888738,POINT (-85.308887384365 35.063093707345),1
1800 GUNBARREL RD.,Chattanooga,TN,37421-,1/5/2016 16:20,TN0330100,C8,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-001559,2,Cleared by Arrest,35.02509008,,-85.15895219,POINT (-85.15895218982 35.025090078274),4
3600 CHATEAU LN.,Chattanooga,TN,37411-,1/5/2016 17:00,TN0330100,C2,Charlie S,23D,Theft From Buildings,Part 1 Crimes,16-001642,3,Pending/Possible Leads,35.02089868,,-85.24612894,POINT (-85.246128942028 35.020898678353),6
00 N Moore Dr.,Chattanooga,TN,37411-,1/5/2016 17:00,TN0330100,C2,Charlie S,23D,Theft From Buildings,Part 1 Crimes,16-001597,2,Cleared by Arrest,35.01288184,,-85.22783695,POINT (-85.22783694687801 35.012881843646),5
2100 HAMILTON PLACE,Chattanooga,TN,37421-,1/5/2016 17:54,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-001607,2,Cleared by Arrest,35.03520102,,-85.16170557,POINT (-85.161705565948 35.035201018708),4
500 SIGNAL MOUNTAIN RD.,Chattanooga,TN,37405-,1/5/2016 19:10,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-001637,2,Cleared by Arrest,35.09340176,,-85.32935144,POINT (-85.32935143936 35.093401758774),1
900 Henderson ST,Chattanooga,TN,37343-,1/5/2016 20:00,TN0330100,A5,Adam N,250,Forgery/Counterfeiting,Part 1 Crimes,16-003875,2,Cleared by Arrest,35.07297574,,-85.32473326,POINT (-85.324733262449 35.072975744693),1
900 Henderson ST,Chattanooga,TN,37343-,1/5/2016 20:00,TN0330100,A5,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-003875,2,Cleared by Arrest,35.07297574,,-85.32473326,POINT (-85.324733262449 35.072975744693),1
3300 Campbell St.,Chattanooga,TN,37406-,1/5/2016 20:04,TN0330100,B1,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-001653,3,Pending/Possible Leads,35.07188612,,-85.2413603,POINT (-85.241360303764 35.071886120708),5
7300 LEE HWY.,Chattanooga,TN,37421-,1/5/2016 20:35,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001863,3,Pending/Possible Leads,35.05364261,,-85.14869007,POINT (-85.148690065264 35.053642612275),6
2400 Westside DR,CHATTANOOGA,TN,37404,1/5/2016 21:36,TN0330100,B6,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001675,2,Cleared by Arrest,35.01308289,,-85.2729196,POINT (-85.272919595113 35.01308289397),9
6100 LEE HWY,Chattanooga,TN,37421-,1/5/2016 21:39,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001846,3,Pending/Possible Leads,35.02716855,,-85.19093486,POINT (-85.19093486383 35.027168549488),5
6100 LEE HWY,Chattanooga,TN,37421-,1/5/2016 21:39,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-001846,3,Pending/Possible Leads,35.02716855,,-85.19093486,POINT (-85.19093486383 35.027168549488),5
1900 Union,Chattanooga,TN,37404-,1/5/2016 23:08,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-001698,2,Cleared by Arrest,35.03241353,,-85.27677107,POINT (-85.276771067394 35.032413527993),9
3700 Modern Industries PKWY,Chattanooga,TN,37419,1/6/2016 7:16,TN0330100,A13,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,16-001776,3,Pending/Possible Leads,35.01544905,,-85.38399933,POINT (-85.383999334683 35.015449046391),1
3400 Amnicola Hwy,Chattanooga,TN,37406,1/6/2016 8:00,TN0330100,B1,Baker N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-107889,3,Pending/Possible Leads,35.08177677,,-85.26344999,POINT (-85.263449993236 35.081776769462),8
900 N CHAMBERLAIN AVE,Chattanooga,TN,37406-,1/6/2016 16:30,TN0330100,B3,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-001970,2,Cleared by Arrest,35.04548246,,-85.25992017,POINT (-85.259920165735 35.045482460383),9
900 Carter ST,"CHATTANOOGA,",TN,37402,1/6/2016 16:45,TN0330100,A9,Adam S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-001952,2,Cleared by Arrest,35.04554121,,-85.31194356,POINT (-85.311943562837 35.045541213447),7
2700 STONE TRACE DR.,Chattanooga,TN,37421-,1/6/2016 23:00,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-002140,3,Pending/Possible Leads,35.05677644,,-85.14353972,POINT (-85.143539720572 35.056776436859),6
3200 13th AVE,CHATTANOOGA,TN,37407,1/7/2016 7:50,TN0330100,B8,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-002156,3,Pending/Possible Leads,35.00398815,,-85.2787326,POINT (-85.278732597015 35.003988149111),7
600 Shallowford Rd.,Chattanooga,TN,37411-,1/7/2016 8:00,TN0330100,C2,Charlie S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-036992,3,Pending/Possible Leads,35.03716152,,-85.24205499,POINT (-85.24205498724 35.037161518933),
500 Signal Mtn Rd,Chattanooga,TN,37405-,1/7/2016 9:50,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,16-002151,2,Cleared by Arrest,35.09201576,,-85.33001144,POINT (-85.33001143936 35.092015758774),1
2100 Chamberlain AVE,CHATTANOOGA,TN,37404,1/7/2016 12:01,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,16-003533,3,Pending/Possible Leads,35.03291767,,-85.27217818,POINT (-85.272178183073 35.032917674844),9
2200 Gunbarrel Rd.,Chattanooga,TN,37421-,1/7/2016 13:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002201,2,Cleared by Arrest,35.03714573,,-85.15163337,POINT (-85.151633372107 35.037145727302),4
3900 Hixson PIKE,Chattanooga,TN,37415-,1/7/2016 13:00,TN0330100,A3,Adam N,23C,Shoplifting,Part 1 Crimes,16-002202,3,Pending/Possible Leads,35.11350742,,-85.26169042,POINT (-85.261690420021 35.11350741595),2
1800 Gunbarrel RD,Chattanooga,TN,37421,1/7/2016 13:00,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002219,2,Cleared by Arrest,35.02459802,,-85.15943124,POINT (-85.1594312414 35.024598021048),4
3500 Cummings Hwy,Chattanooga,TN,37419-,1/7/2016 13:13,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,16-002223,2,Cleared by Arrest,35.01771489,,-85.37664178,POINT (-85.376641781113 35.017714889391),1
1800 Gunbarrel RD,Chattanooga,TN,37421,1/7/2016 13:20,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002208,2,Cleared by Arrest,35.02360502,,-85.15801324,POINT (-85.1580132414 35.023605021048),4
2100 HAMILTON PLACE BLVD.,Chattanooga,TN,37421-,1/7/2016 15:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002247,D,Cleared by Arrest Juvenile (One Incident),35.03501602,,-85.16239757,POINT (-85.162397565948 35.035016018708),4
7300 KENMOOR DR,Chattanooga,TN,37421-,1/7/2016 15:00,TN0330100,C8,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-002633,3,Pending/Possible Leads,35.01365498,,-85.16692341,POINT (-85.166923410029 35.01365497579),6
2000 Gunbarrel RD,Chattanooga,TN,37421,1/7/2016 16:46,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,16-002289,2,Cleared by Arrest,35.03068943,,-85.15476905,POINT (-85.154769049335 35.030689425364),4
7200 E BRAINERD RD,CHATTANOOGA,TN,37421,1/7/2016 17:30,TN0330100,C8,Charlie N,100,Kidnapping/Abduction,Part 1 Crimes,16-002353,2,Cleared by Arrest,35.01793035,,-85.16624043,POINT (-85.166240427253 35.017930351786),4
600 Maple St,Chattanooga,TN,37412-,1/7/2016 19:50,TN0330100,C6,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,16-002612,3,Pending/Possible Leads,35.04090888,,-85.31749054,POINT (-85.317490544431 35.040908884325),7
7300 Lee HWY,Chattanooga,TN,37421,1/8/2016 1:42,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-002449,2,Cleared by Arrest,35.05152484,,-85.14932628,POINT (-85.149326280965 35.051524839333),6
400 Booth Rd.,Chattanooga,TN,37411-,1/8/2016 3:00,TN0330100,C2,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,16-002699,3,Pending/Possible Leads,35.03126299,,-85.24434522,POINT (-85.244345215629 35.031262992995),9
400 Booth Rd.,Chattanooga,TN,37411-,1/8/2016 3:00,TN0330100,C2,Charlie S,23D,Theft From Buildings,Part 1 Crimes,16-002699,3,Pending/Possible Leads,35.03126299,,-85.24434522,POINT (-85.244345215629 35.031262992995),9
1700 South Beech ST,Chattanooga,TN,37404-,1/8/2016 6:30,TN0330100,B6,Baker S,23D,Theft From Buildings,Part 1 Crimes,16-003801,3,Pending/Possible Leads,35.02426841,,-85.28037516,POINT (-85.280375162909 35.024268413834),8
3400 ROSSVILLE BLVD,Chattanooga,TN,37407-,1/8/2016 7:48,TN0330100,A7,Adam S,250,Forgery/Counterfeiting,Part 1 Crimes,16-026530,3,Pending/Possible Leads,35.00494642,,-85.29328317,POINT (-85.293283173718 35.004946421045),7
3900 HIXSON PIKE,Chattanooga,TN,37415--,1/8/2016 7:48,TN0330100,A3,Adam N,250,Forgery/Counterfeiting,Part 1 Crimes,16-026534,3,Pending/Possible Leads,35.11469436,,-85.25990509,POINT (-85.259905090041 35.114694358492),2
9000 Standifer Gap RD,Chattanooga,TN,37421,1/8/2016 8:00,TN0330100,C5,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-028023,3,Pending/Possible Leads,,,,,
5100 Eldridge RD,CHATTANOOGA,TN,37343,1/8/2016 9:43,TN0330100,A3,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-002518,3,Pending/Possible Leads,35.13766257,,-85.26160556,POINT (-85.261605559242 35.137662574658),2
400 Riverfront PKWY,Chattanooga,TN,37402-,1/8/2016 12:00,TN0330100,A6,Adam S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-003229,3,Pending/Possible Leads,35.05453354,,-85.32079895,POINT (-85.320798945002 35.054533541126),7
400 Moccasin Bend Rd,Chattanooga,TN,37405--,1/8/2016 12:00,TN0330100,A5,Adam N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-009616,3,Pending/Possible Leads,35.05263986,,-85.33222771,POINT (-85.332227710312 35.052639856938),1
1900 Northpoint BLVD,Chattanooga,TN,37343-,1/8/2016 13:25,TN0330100,A1,Adam N,250,Forgery/Counterfeiting,Part 1 Crimes,16-002585,3,Pending/Possible Leads,35.13672558,,-85.24061703,POINT (-85.240617030598 35.136725582455),3
5300 HIGHWAY 153,CHATTANOOGA,TN,37343,1/8/2016 13:45,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,16-002577,2,Cleared by Arrest,35.1346053,,-85.24571811,POINT (-85.245718111005 35.134605302194),3
700 TUNNEL BLVD,Chattanooga,TN,37411-,1/8/2016 13:51,TN0330100,C1,Charlie S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-003854,3,Pending/Possible Leads,35.03712685,,-85.2407402,POINT (-85.24074019891802 35.037126851065),9
